646,604,21.15,297.35,2018.95,711.45,399.85,321.9,285,3149.2,161.95,664.75,2222,1440,31.5,1749.5,357.8,13.65,3400,934.25,525.35,335.9,818,91.5,91.5,32.7,16.5,1499,3196.4,614
719.6,625.9,20.25,299.5,2114.45,706,399,336.95,278.7,2889.4,161.7,663,2335.2,1410,28.8,1800,373.7,17.32,3431,943.1,521.9,313.15,1125,92.4,98.8,30.1,19,1546,3186.1,670.8
729,655.35,18.7,278.2,2249.95,752.45,398,351,315.65,2703.25,161.1,669.7,2313.5,1456.6,30,1892.95,329.8,20.75,3570,909,507.8,315.8,1487.5,88.35,103.3,30,19.65,1575,3399,676.9
688.4,582,18.51,243.9,2377,745.55,395.4,385.6,310.2,2680,141.8,686,2244,1473.75,30.5,1820,333,21.6,3808.75,943.8,482.4,294.5,1405.9,82.15,76.5,26.9,26.95,1471.05,3031.75,635.7
803.9,587,17.55,255.2,2685,696.15,393.4,409.5,295,2705,145,679.1,2061,1434.9,38.6,1668.35,343,23.3,3689,915.5,460.35,305,1296,79.8,64.65,24,35.85,1575,3109,577
721.6,589.45,15.45,259.85,2809,672.6,422.1,385,292,2738.6,129.85,745.9,2063,1410.35,30.7,1816.9,330,13.12,3572.1,1013.8,416.4,281.95,1293,76.95,75.9,22.95,35.5,1600,3019,578.4
93.5,613.4,15.14,289.85,3250,724.75,442,411,312.9,2747.25,114.7,945.75,1127.75,1463,45.25,1886.25,316.9,12.31,4084.95,1067,431.7,274.6,1758.4,76.75,75.5,22.85,41.9,1871,3369.5,594
103,589.65,16.45,287.9,3435,748,447.25,411.55,281,2800,112,991,1186,724.95,48.45,1844.15,284.35,14.7,4337,1013.2,435,291.85,2317,70.9,65.4,24.05,42.75,2160,3252.45,587.35
84,535,14.32,227.9,3147,688.75,365.5,378.9,268.3,2448,79.8,840,1165.35,670,43.9,1630,243.35,14.6,4308.25,899,358.7,248.5,2024.2,67.45,53.8,21.85,31.8,1914,3025,604.7
101.9,532.45,22.7,219.7,3333,704.75,349,398.65,266.7,2665,92.65,830,1219,693.3,50.8,1610.4,267.65,15.74,4382.95,974,410.35,257.9,1988.75,72.45,49.7,22.85,33.2,2010,2995,613
92.7,487.35,22.75,203.3,3237,690.5,344.7,406.1,299.25,2732,84.5,847.9,1155.6,701,62.4,1404,256.3,14.93,4375.3,992,455.35,252.9,2058,69.9,45.6,22,40,1999,2957.6,579.25
85.2,471,19.4,177,3012.75,660,346.5,390,312.15,2740,86,856.8,1110,721.95,62.55,1383,243.8,14.5,3265,1018.5,548.2,251.85,2330,68.95,50.75,28.5,39.25,2066.5,2899.9,587
92,452.7,21,175,3012,658,337,389.75,321.9,2696.05,85.8,909.9,1169.7,727,78.2,1291.25,244.85,17.25,3122.9,1089.5,622.05,228.9,2281,70.75,47.3,25.95,38.9,2043.8,2839,564
79.6,422.4,17.8,144.75,2952,606.35,336.8,358.45,311.5,2730.1,72.1,818,1193.6,697.15,78.2,1174.65,227.9,15.48,3151.85,1041,474.6,182.5,2396,61.9,41.05,21.5,32.9,1939,2941.15,573.25
74.95,448.6,21.04,117.8,2912.5,549.5,334,368.9,324.7,2985,92.7,805.9,1234.65,694.9,78.2,1248.15,219.05,12.44,3280,1055.95,544.9,198.75,2012.05,65.05,39,19.35,33,1743,3265.8,567
88.7,484.6,21.55,135.4,2917,544.75,293.8,379.05,355,3170,104.4,875,1267.9,719.05,78.2,1288,225.3,18.62,3169,1070,584.8,202.5,2064,72.45,44.4,22.5,36.7,1927.25,3452.95,606.75
88.6,525,21.75,131.95,3034,547,296,358,378,3124.3,107.55,953.5,1270,754.9,78.2,1495,221.4,19.6,3200,994.7,555.25,205.6,1940.75,75.9,40.5,19.4,37.2,1985,3300,557
87.15,549.2,24.2,128.45,2820.75,506.8,318.8,414.5,370.25,3222.35,124.6,1004.8,1278,778,75,1515,222.65,13.87,3396.7,995,559.45,221.8,1839.5,77.95,43.7,21.95,43.5,2386,3437,564.8
87.15,576.85,22.3,151.25,2944.55,536.45,335.8,449.8,391.8,3306.1,141.25,1278,1195.05,790,77,1615,241.3,14.12,3689,1039,610.5,235,1783,75.5,46.9,22.05,43.5,2781.45,3737,577.5
81.8,601.7,20.55,149,3497,586.5,349.85,445,428.1,3576,164.7,1328.95,1094,815,78.2,1584.95,243.85,13.4,3131,1073.55,613,260.5,1755,79.2,44.5,21.7,48,2999,4065,561.5
75,638,18.9,162.8,3575,617.7,341,440,433,3739.9,163.4,1270,1068.65,825.6,78.2,1545.75,263,13.88,3228.05,1128.9,635.35,271.55,1589.45,80.35,47,25,51.8,3420,4130,492.5
72.7,552.95,17.45,143.45,3525,604,329.55,467,459.8,3600,162.7,471,1080.7,830,92,1520,296.8,12.25,3394.95,1124.8,606.25,264.75,1436.25,84.45,51.45,26.7,69.4,3443,4069.55,504.3
68.45,512.9,17.25,146.85,3379.35,579.2,337.3,446,413.35,3400,184.75,485.95,1009.85,836,81.9,1480.15,290.9,13.05,3357,1055,547.4,288.5,1353.75,79.5,47.55,26.45,64.9,3479.1,3992.3,470.35
77.05,480.25,14.74,131.2,3087,588.9,315,438.3,353.3,3344,183.35,464.5,1020.95,758,72.8,1401,315,12.91,3247,1084.7,512,269.45,1498.8,80.2,45.4,25.45,59,3080,3666.45,477
93.85,491.65,16.05,142,3160.5,595,320,450.35,432,3265,195.1,549.95,1045,802.5,72,1469.7,212,13,3203.95,1097,533.5,268.25,1557.8,82.7,63.7,24.95,57,3335.3,3762.75,487.25
